Company Name,Classification,Country
Acuitas Therapeutics,Nanotechnology,Canada
OncoArendi Therapeutics SA,Early Stage Biotech,Poland
Abacus Diagnostica,Medical Diagnostics,Finland
Highland Therapeutics,Early Stage Biotech,Canada
Genome Diagnostics B.V.,Medical Diagnostics,Netherlands
Grifols Deutschland GmbH,BioSystems,Germany
DDD Danish Diagnostic Development A/S,Medical Diagnostics,Denmark
Somagen Diagnostics,Medical Devices,Canada
Parvus Therapeutics,Rare Disease,United States
Diagnosticum Zrt,Medical Devices,Hungary
Enigma Diagnostics,Medical Devices,United Kingdom
BDS INTERNATIONAL Diagnostics GmbH,Medical Diagnostics,Germany
A.Menarini Diagnostics Ltd,Medical Diagnostics,United Kingdom
Kem-En-Tec Diagnostics A/S,Medical Devices,Denmark
AdeTherapeutics Inc.,Early Stage Biotech,Canada
Specialised Therapeutics Australia,Healthcare Analytics,Australia
"1ST Biotherapeutics, Inc.",Rare Disease,"Korea, Republic of"
AIMM Therapeutics,Rare Disease,Netherlands
Beyond Air Inc,Healthcare Analytics,United States
Alectos Therapeutics,Healthcare Analytics,Canada
ReGen Therapeutics Plc,Medical Devices,United Kingdom
Neumann Diagnostics,BioSystems,Hungary
Crescent Diagnostics Ltd,Medical Diagnostics,United Kingdom
Microtest Matrices Ltd,Medical Devices,United Kingdom
Particle Therapeutics,Medical Devices,United Kingdom
Gyroscope Therapeutics Limited,Genomics/Gene Therapy,United Kingdom
Isarna Therapeutics,Misc,Germany
ScarX Therapeutics,Early Stage Biotech,Canada
Modus Therapeutics,Biosystems,Sweden
NBE Therapeutics,Biosystems,Switzerland
Vernalis,Biosystems,United Kingdom
Prexton Therapeutics,Early Stage Biotech,Switzerland
Neurimmune Therapeutics,Misc,Switzerland
nLife Therapeutics,Early Stage Biotech,Spain
Enterprise Therapeutics,BioSystems,United Kingdom
EpimAb Biotherapeutics,BioSystems,China
Evox Therapeutics,Rare Disease,United Kingdom
Stealthyx Therapeutics,Healthcare Analytics,United Kingdom
Phico Therapeutics,Early Stage Biotech,United Kingdom
Feldan Therapeutics,Nanotechnology,Canada
Aelix Therapeutics,Rare Disease,Spain
"Alethia BioTherapeutics, Inc.",Rare Disease,Canada
Repare Therapeutics,Genomics/Gene Therapy,Canada
STORM Therapeutics,Genomics/Gene Therapy,United Kingdom
Arquer Diagnostics,Medical Diagnostics,United Kingdom
Atomo Diagnostics,Medical Diagnostics,Australia
MeMed Diagnostics,Medical Diagnostics,Israel
Orbsen Therapeutics,Medical Diagnostics,Ireland
CARsgen Therapeutics,Medical Diagnostics,China
Advanced Cancer Therapeutics,Healthcare Analytics,United States
Altheus Therapeutics Inc,Healthcare Analytics,United States
"Cellerant Therapeutics, Inc.",Bioinformatics,United States
Amorsa Therapeutics,BioSystems,United States
Annias Immunotherapeutics,Digital Health,United States
Anthos Therapeutics,Healthcare Analytics,United States
"Antidote Therapeutics, Inc",Rare Disease,United States
Aptamir Therapeutics,Bioinformatics,United States
BioAegis Therapeutics,BioSystems,United States
Bridge Therapeutics,Healthcare Analytics,United States
C2 Therapeutics,Digital Health,United States
"Cellics Therapeutics, Inc.",Rare Disease,United States
Circuit Therapeutics,Genomics/Gene Therapy,United States
Context Therapeutics,Healthcare Analytics,United States
"Copernicus Therapeutics, Inc.",Genomics/Gene Therapy,United States
GO Therapeutics,BioSystems,United States
rEVO Biologics Inc,BioSystems,United States
Artiva Biotherapeutics,BioSystems,United States
BEAT BioTherapeutics,BioSystems,United States
"Chiesi, USA, Inc.",Rare Disease,United States
"Chrysalis Biotherapeutics, Inc.",Stem Cell,United States
Clover Therapeutics,Nanotechnology,United States
Colorado Therapeutics LLC,Medical Devices,United States
Geom Therapeutics,BioSystems,United States
Hormone Therapeutics,Healthcare Analytics,United States
Orum Therapeutics,BioSystems,"Korea, Republic of"
Quiet Therapeutics,BioSystems,Israel
TenNor Therapeutics,BioSystems,China
Comet Therapeutics,BioSystems,United States
Topas Therapeutics GmbH,BioSystems,Germany
Vivet Therapeutics,BioSystems,France
Zucara Therapeutics,BioSystems,Canada
Carisma Therapeutics Inc,Bioinformatics,United States
Carmell Therapeutics,BioSystems,United States
Actuate Therapeutics Inc,Healthcare Analytics,United States
"Adaptive Phage Therapeutics, Inc.",Healthcare Analytics,United States
Amakem Therapeutics (Formerly Known As Amakem NV),Healthcare Analytics,Belgium
Amphivena Therapeutics,BioSystems,United States
Arcion Therapeutics,Bioinformatics,United States
Arete Therapeutics,Bioinformatics,United States
Ascenta Therapeutics Inc.,Medical Diagnostics,United States
Axerion Therapeutics Inc.,BioSystems,United States
Axial Biotherapeutics,BioSystems,United States
"BioEclipse Therapeutics, Inc",BioSystems,United States
BlackThorn Therapeutics,Medical Diagnostics,United States
Calliditas Therapeutics,Medical Diagnostics,Sweden
"Century Therapeutics, Inc.",Genomics/Gene Therapy,United States
"Cerebral Therapeutics, Inc.",Medical Diagnostics,United States
"Cerevast Therapeutics, Inc.",Medical Diagnostics,United States
Cingulate Therapeutics LLC,Healthcare Analytics,United States
"Clarus Therapeutics, Inc.",Healthcare Analytics,United States
Cognition Therapeutics Inc.,Early Stage Biotech,United States
Compass Therapeutics,Early Stage Biotech,United States
Corvidia Therapeutics,Genomics/Gene Therapy,United States
DecImmune Therapeutics,Healthcare Analytics,United States
Entrada Therapeutics Inc,Healthcare Analytics,United States
"Exicure, Inc",BioSystems,United States
"Good Therapeutics, Inc.",BioSystems,United States
Grid Therapeutics,BioSystems,United States
Iconic Therapeutics,Bioinformatics,United States
IM Therapeutics,Healthcare Analytics,United States
Xilio Therapeutics,Healthcare Analytics,United States
"Zenobia Therapeutics, Inc.",Healthcare Analytics,United States
BioMed Diagnostics,Medical Devices,United States
Qool Therapeutics,BioSystems,United States
"Velcura Therapeutics, Inc",BioSystems,United States
Meso Scale Diagnostics,Medical Devices,United States
"NOWDiagnostics, Inc",Medical Diagnostics,United States
Oasis Diagnostics,Medical Devices,United States
Genova Diagnostics,Healthcare Analytics,United States
Gold Standard Diagnostics,Medical Devices,United States
Hardy Diagnostics,Medical Devices,United States
"INOVA Diagnostics, Inc.",Medical Devices,United States
InSource Diagnostics,Healthcare Analytics,United States
"Iron Horse Diagnostics, Inc.",Medical Diagnostics,United States
Iverson Genetic Diagnostics,Medical Diagnostics,United States
"Machaon Diagnostics, Inc.",Healthcare Analytics,United States
Integrated BioTherapeutics,Bioinformatics,United States
"Monitored Therapeutics, Inc",TeleMedicine,United States
"Motion Therapeutics, Inc",Medical Devices,United States
NeuroEM Therapeutics,BioSystems,United States
"Antigen Discovery, Inc",BioSystems,United States
"Cognate BioServices, Inc.",Genomics/Gene Therapy,United States
"Levo Therapeutics, Inc",Early Stage Biotech,United States
Lumen Therapeutics,Healthcare Analytics,United States
Havah Therapeutics,Healthcare Analytics,United States
HBO2 Therapeutics,Healthcare Analytics,United States
Helicon Therapeutics,BioSystems,United States
Helsinn Therapeutics (US) Inc.,BioSystems,United States
HemaFLO Therapeutics Inc. (Formerly Known As DRP Medical),BioSystems,United States
"NovelMed Therapeutics, Inc.",BioSystems,United States
Noveome Biotherapeutics,BioSystems,United States
Klotho Therapeutics,Digital Health,United States
AI Therapeutics,Rare Disease,United States
Io Therapeutics,Bioinformatics,United States
Expression Therapeutics,Bioinformatics,United States
Felicitex Therapeutics,Bioinformatics,United States
Focal Therapeutics,Medical Diagnostics,United States
Chronos Therapeutics,BioSystems,United Kingdom
Amal Therapeutics SA,BioSystems,Switzerland
Amarna Therapeutics B.V.,Healthcare Analytics,Netherlands
Helperby Therapeutics,Digital Health,United Kingdom
Meristem Therapeutics,BioSystems,France
MiNA Therapeutics,BioSystems,United Kingdom
Sekisui Diagnostics,Medical Diagnostics,Canada
Achelios Therapeutics,BioSystems,United States
Aciex Therapeutics,BioSystems,United States
Dragonfly Therapeutics,BioSystems,United States
Dynamis Therapeutics,BioSystems,United States
"Ebb Therapeutics (Formerly Known As Cerêve, Inc.)",Digital Health,United States
"Elusys Therapeutics, Inc.",Healthcare Analytics,United States
Ennaid Therapeutics,BioSystems,United States
Ensemble Therapeutics Corporation,Healthcare Analytics,United States
Pelican Therapeutics,Healthcare Analytics,United States
Currax Pharmaceuticals LLC ,Healthcare Analytics,United States
Integrative Therapeutics,Nutraceuticals,United States
"Infuseon Therapeutics, Inc",Medical Devices,United States
Libella Gene Therapeutics,Genomics/Gene Therapy,United States
FUJIFILM Wako Diagnostics U.S.A. Corporation,Medical Diagnostics,United States
Epygenix Therapeutics,Bioinformatics,United States
"X-Biotix Therapeutics, Inc.",BioSystems,United States
Yuma Therapeutics Corporation,BioSystems,United States
"Bluejay Diagnostics, Inc.",Medical Diagnostics,United States
Tate Diagnostic Inc,Stem Cell,United States
Prime Therapeutics,Digital Health,United States
QLSF BioTherapeutics,BioSystems,United States
Pique Therapeutics,BioSystems,United States
Plasma Protein Therapeutics Association,BioSystems,United States
"Polaryx Therapeutics, Inc.",BioSystems,United States
IVAX Diagnostics,Medical Diagnostics,United States
"Multimeric Biotherapeutics, Inc",Medical Diagnostics,United States
"Innovimmune Biotherapeutics, Inc.",Healthcare Analytics,United States
Macrophage Therapeutics,Medical Devices,United States
NovaTarg Therapeutics,BioSystems,United States
Vista Clinical Diagnostics,Medical Diagnostics,United States
Flag Therapeutics,Medical Diagnostics,United States
Corbin Therapeutics,BioSystems,Canada
GeneQuine Biotherapeutics GmbH,BioSystems,Germany
Wuhan Kindstar Diagnostics,Healthcare Analytics,China
XLV Diagnostics Inc.,Digital Health,Canada
Zhejiang Dian Diagnostics,Medical Diagnostics,China
3DBio Therapeutics,BioSystems,United States
Encore Therapeutics Inc,Healthcare Analytics,United States
Vyome Therapeutics Inc.,Healthcare Analytics,United States
WindMIL Therapeutics,Healthcare Analytics,United States
Excision BioTherapeutics Inc.,Healthcare Analytics,United States
Rani Therapeutics,Healthcare Analytics,United States
Caliber Imaging & Diagnostics,Medical Devices,United States
Bardy Diagnostics,Medical Diagnostics,United States
"Rainier Therapeutics, Inc.",Bioinformatics,United States
"Pliant Therapeutics, Inc.",BioSystems,United States
"PNP Therapeutics, Inc.",BioSystems,United States
"Poseida Therapeutics, Inc.",BioSystems,United States
Lia Diagnostics,Medical Devices,United States
Magellan Diagnostics,Medical Devices,United States
"MBio Diagnostics, Inc.",Healthcare Analytics,United States
"Immune-Onc Therapeutics, Inc",Healthcare Analytics,United States
ImmunoMet Therapeutics Inc,Healthcare Analytics,United States
"Immunomic Therapeutics, Inc",Healthcare Analytics,United States
InCarda Therapeutics Inc.,Healthcare Analytics,United States
LifeMine Therapeutics,Genomics/Gene Therapy,United States
"Logical Therapeutics, Inc.",Healthcare Analytics,United States
Lung Therapeutics,Healthcare Analytics,United States
HemoShear Therapeutics,BioSystems,United States
Obsidian Therapeutics,BioSystems,United States
Jupiter Orphan Therapeutics,Rare Disease,United States
Juvaris BioTherapeutics,Genomics/Gene Therapy,United States
ONL Therapeutics,Medical Diagnostics,United States
VIDA Diagnostics,Medical Diagnostics,United States
"Expansion Therapeutics, Inc.",Bioinformatics,United States
Foghorn Therapeutics,Genomics/Gene Therapy,United States
Confo Therapeutics,BioSystems,Belgium
Freeline Therapeutics,BioSystems,United Kingdom
Aleva Neurotherapeutics SA,Healthcare Analytics,Switzerland
Allecra Therapeutics,BioSystems,Germany
Minoryx Therapeutics,BioSystems,Spain
Karus Therapeutics,BioSystems,United Kingdom
LNC Therapeutics,BioSystems,France
Dermata Therapeutics,BioSystems,United States
Dignify Therapeutics,BioSystems,United States
Disarm Therapeutics,Healthcare Analytics,United States
"eFFECTOR Therapeutics, Inc.",Early Stage Biotech,United States
Elstar Therapeutics,BioSystems,United States
"Embera NeuroTherapeutics, Inc.",BioSystems,United States
Emerald Therapeutics,Medical Diagnostics,United States
Pear Therapeutics,Rare Disease,United States
Tarveda Therapeutics,Medical Diagnostics,United States
Tenaya Therapeutics,Healthcare Analytics,United States
60° Pharmaceuticals,BioSystems,United States
Abiogen Pharma,Rare Disease,Italy
Abon Pharmaceuticals,Healthcare Analytics,United States
Acumen Pharmaceuticals Inc.,Medical Diagnostics,United States
Aerial BioPharma,BioSystems,United States
Affectis Pharmaceuticals AG,BioSystems,Germany
Akanocure Pharma,BioSystems,United States
Akrimax Pharmaceuticals,BioSystems,United States
Alitair Pharmaceuticals,BioSystems,United States
Amplyx Pharmaceuticals,BioSystems,United States
MicuRx Pharmaceuticals,Healthcare Analytics,United States
Mimetogen Pharmaceuticals,Healthcare Analytics,Canada
Mitochon Pharmaceuticals,Healthcare Analytics,United States
Modra Pharmaceuticals B.V.,Healthcare Analytics,Netherlands
NAEJA-RGM Pharma,Medical Diagnostics,Canada
"NanoSmart Pharmaceuticals, Inc.",Nanotechnology,United States
NanoValent Pharmaceuticals,Nanotechnology,United States
Nemaura Pharma,Healthcare Analytics,United Kingdom
Navitor Pharmaceuticals,Healthcare Analytics,United States
NETRIS Pharma,Healthcare Analytics,France
Neurim Pharmaceuticals,Healthcare Analytics,Israel
NLS Pharma,Healthcare Analytics,Switzerland
Nucorion Pharmaceuticals,Healthcare Analytics,United States
NuvOx Pharma,Healthcare Analytics,United States
"ORIC Pharmaceuticals, Inc.",Healthcare Analytics,United States
Orphagen Pharmaceuticals,Healthcare Analytics,United States
Otologic Pharmaceutics,Healthcare Analytics,United States
PACT Pharma,Healthcare Analytics,United States
Palleon Pharmaceuticals,Healthcare Analytics,United States
KalGene Pharmaceuticals,Healthcare Analytics,Canada
Kalyra Pharmaceuticals,BioSystems,United States
Kindex Pharmaceuticals,Healthcare Analytics,United States
"Kringle Pharma, Inc.",BioSystems,Japan
L.E.A.F. Pharmaceuticals,BioSystems,United States
LABEC Pharma,Medical Diagnostics,Spain
"Landos Biopharma, Inc.",Healthcare Analytics,United States
Lead Pharma,BioSystems,Netherlands
Lipella Pharmaceuticals,BioSystems,United States
Lytix Biopharma,BioSystems,Norway
Mapp Biopharmaceutical,Healthcare Analytics,United States
Amunix Pharmaceuticals Inc.,BioSystems,United States
Anaeropharma Science,BioSystems,Japan
Andarix Pharmaceuticals,Medical Diagnostics,United States
"Angstrom Pharmaceuticals, Inc.",Healthcare Analytics,United States
Ansun Biopharma,Healthcare Analytics,United States
AOP Orphan Pharmaceuticals AG,Rare Disease,Austria
"Apexian Pharmaceuticals, Inc.",Healthcare Analytics,United States
"Immune Response BioPharma, Inc",Healthcare Analytics,United States
Impel NeuroPharma,Healthcare Analytics,United States
Inozyme Pharma,Rare Disease,United States
iX Biopharma,BioSystems,Singapore
Izun Pharmaceuticals Corp.,BioSystems,United States
"Trove Therapeutics, Inc",Medical Diagnostics,United States
Forge Therapeutics,Bioinformatics,United States
"FORMA Therapeutics, Inc.",,
"FORMA Therapeutics, Inc.",Bioinformatics,United States
"Garnet Biotherapeutics, Inc.",BioSystems,United States
Gemini Therapeutics,Bioinformatics,United States
Nimbus Therapeutics,Bioinformatics,United States
NKT Therapeutics Inc.,Bioinformatics,United States
Nohla Therapeutics,Bioinformatics,United States
Nora Therapeutics,Bioinformatics,United States
"Intarcia Therapeutics, Inc.",Bioinformatics,United States
"Medeor Therapeutics, Inc.",Healthcare Analytics,United States
"MediQuest Therapeutics, Inc.",Healthcare Analytics,United States
"Respira Therapeutics, Inc",Healthcare Analytics,United States
Oxford BioTherapeutics Ltd,Healthcare Analytics,United Kingdom
Relay Therapeutics,Bioinformatics,United States
Orbus Therapeutics,Rare Disease,United States
Silk Therapeutics,Healthcare Analytics,United States
Silverback Therapeutics,Digital Health,United States
SiteOne Therapeutics,Medical Diagnostics,United States
Skyhawk Therapeutics,Rare Disease,United States
Osler Diagnostics Limited,Medical Diagnostics,United Kingdom
Tmunity Therapeutics,Digital Health,United States
Spiral Therapeutics,BioSystems,United States
Talaris Therapeutics,Medical Diagnostics,United States
Ribon Therapeutics,Healthcare Analytics,United States
"VLP Therapeutics, LLC",Healthcare Analytics,United States
Prelude Therapeutics,BioSystems,United States
Celerus Diagnostics,Medical Diagnostics,United States
Daktari Diagnostics,Healthcare Analytics,United States
GeneCentric Diagnostics,BioSystems,United States
Lyndra Therapeutics,Healthcare Analytics,United States
"Aurora BioPharma, Inc.",Biosystems,United States
Avilex Pharma,Biosystems,Denmark
Azevan Pharmaceuticals,Biosystems,United States
Bexion Pharmaceuticals,Biosystems,United States
Petra Pharma,Biosystems,United States
PharmAbcine,Biosystems,"Korea, Republic of"
Pharmaco-Kinesis Corporation,Medical devices,United States
PharmaJet,Medical devices,United States
Araim Pharmaeuticals,Biosystems,United States
Arbor Pharmaceuticals,Biosystems,United States
"Archer Pharmaceuticals, Inc.",Biosystems,United States
ARMGO Pharma Inc.,Biosystems,United States
Asklepion Pharmaceuticals,Biosystems,United States
"Asklepios BioPharmaceutical, Inc.",Biosystems,United States
"Atlantic Pharmaceuticals, Inc.",Biosystems,United States
Atrin Pharmaceuticals,Biosystems,United States
AudioCure Pharma GmbH,Biosystems,Germany
Aurealis Pharma,Biosystems,Switzerland
Sapience Therapeutics,Biosystems,United States
Seaside Therapeutics,Biosystems,United States
ApopLogic Pharmaceuticals,Biosystems,United States
Apothecus Pharmaceutical,Biosystems,United States
Aquavit Pharmaceuticals,Biosystems,United States
Aquinnah Pharmaceuticals,Biosystems,United States
Onsite Health Diagnostics,Healthcare Analytics,United States
Personal Genome Diagnostics,Medical Diagnostics,United States
Restore Therapeutics,Medical Diagnostics,United States
ReVision Therapeutics,Medical Diagnostics,United States
SAB Biotherapeutics,Biosystems,United States
Samus Therapeutics,Biosystems,United States
"Saneron CCEL Therapeutics, Inc.",Biosystems,United States
Neuro Diagnostic Devices (NeuroDx),Medical Devices,United States
"Advanced Animal Diagnostics, Inc.",Medical Diagnostics,United States
Almac Diagnostic Services,Medical Diagnostics,United States
"Amber Diagnostics, Inc.",Medical Imaging,United States
"Amydis, Inc.",Medical Diagnostics,United States
"ARK Diagnostics, Inc.",Medical Devices,United States
"Esperance Pharmaceuticals, Inc.",Healthcare Analytics,United States
"Euclises Pharmaceuticals, Inc",Healthcare Analytics,United States
Eutropics Pharmaceuticals,Medical Diagnostics,United States
ExeGi Pharma,Medical Diagnostics,United States
Faraday Pharmaceuticals,Healthcare Analytics,United States
Fedora Pharmaceuticals Inc.,Healthcare Analytics,Canada
FogPharma,Healthcare Analytics,United States
Forendo Pharma Ltd,Healthcare Analytics,Finland
Phosphorus Diagnostics,Genomics/Gene Therapy,United States
"Population Bio, Inc",Medical Diagnostics,United States
Preora Healthcare Inc,Medical Diagnostics,United States
"Phase Diagnostics, Inc.",Medical Devices,United States
Proxim Diagnostics,Medical Devices,United States
Nagourney Cancer Institute,Healthcare Analytics,United States
Proven Diagnostics,Medical Devices,United States
Cantex Pharmaceuticals,Digital Health,United States
Cardurion Pharmaceuticals,BioSystems,United States
CellAct Pharma GmbH,Digital Health,Germany
Censa Pharmaceuticals,BioSystems,United States
CEVEC Pharmaceuticals GmbH,BioSystems,Germany
Checkmate Pharmaceuticals,Healthcare Analytics,United States
CinRx Pharma,Healthcare Analytics,United States
Circle Pharma,Early Stage Biotech,United States
CiVi Biopharma,BioSystems,United States
"AN2 Therapeutics, Inc.",Healthcare Analytics,United States
"TriAxia Health, Inc.",Rare Disease,United States
"Celldom, Inc.",Genomics/Gene Therapy,United States
Brii Biosciences,Healthcare Analytics,United States
Seekyo,Healthcare Analytics,France
Heartbeat Labs GmbH,Digital Health,Germany
Anvajo GmbH,Medical Devices,Germany
PMI BioPharma Solutions LLC,Healthcare Analytics,United States
Frontier Medicines,Healthcare Analytics,United States
"Akouos, Inc",Genomics/Gene Therapy,United States
Axial3D,Medical Devices,United Kingdom
HidraMed Solutions Ltd,Healthcare Analytics,Ireland
APT Therapeutics,BioSystems,United States
"Cloud Pharmaceuticals, Inc",Digital Health,United States
"Clover Biopharmaceuticals, Inc.",BioSystems,China
Reviva Pharmaceuticals Inc.,Healthcare Analytics,United States
Rhizen Pharmaceuticals S.A.,Digital Health,Switzerland
Riboxx Pharmaceuticals,BioSystems,Germany
Scilex Pharmaceuticals,BioSystems,United States
"Selten Pharma, LLC",Rare Disease,United States
"Neutron Therapeutics, Inc",Medical Devices,United States
Nobilis Therapeutics,Bioinformatics,United States
"Mati Therapeutics, Inc",Healthcare Analytics,United States
"Ralexar Therapeutics, Inc",Healthcare Analytics,United States
"Rare Disease Therapeutics, Inc",Rare Disease,United States
"ReCyte Therapeutics, Inc.",Stem Cell,United States
REMD Biotherapeutics,BioSystems,United States
Shepherd Therapeutics,Bioinformatics,United States
Intensity Therapeutics,Healthcare Analytics,United States
InterveXion Therapeutics,Bioinformatics,United States
TRACT Therapeutics,Medical Diagnostics,United States
"Venturis Therapeutics, Inc",Bioinformatics,United States
"TeneoBio, Inc",BioSystems,United States
"StemSynergy Therapeutics, Inc.",BioSystems,United States
Tactical Therapeutics,BioSystems,United States
Arch Oncology,Medical Diagnostics,United States
"PharmaStem Therapeutics, Inc.",BioSystems,United States
Phosplatin Therapeutics,BioSystems,United States
Pionyr Immunotherapeutics,BioSystems,United States
"Koios Medical, Inc",Medical Devices,United States
Critical Diagnostics,Medical Diagnostics,United States
Diagnostic Consulting Network,Medical Diagnostics,United States
"Therapeutics, Inc",Medical Diagnostics,United States
Renova Therapeutics,Healthcare Analytics,United States
"Commonwealth Diagnostics International, Inc.",Healthcare Analytics,United States
"Copan Diagnostics, Inc.",Medical Diagnostics,United States
PTS Diagnostics,Medical Diagnostics,United States
Gryphus Diagnostics,Medical Diagnostics,United States
"Fujirebio Diagnostics, Inc.",Medical Devices,United States
Tetra Therapeutics,Medical Diagnostics,United States
Fortovia Therapeutics,BioSystems,United States
MapLight Therapeutics,Healthcare Analytics,United States
Regenocyte Therapeutic,Stem Cell,United States
Silicon Therapeutics,BioSystems,United States
Tonus Therapeutics,BioSystems,United States
Starton Therapeutics,BioSystems,United States
Sunascen Therapeutics,Healthcare Analytics,United States
"Synergys Biotherapeutics, Inc",BioSystems,United States
Tactiva Therapeutics,BioSystems,United States
Pfizer - Centers of Therapeutic Innovation,Healthcare Analytics,United States
Cleveland Diagnostics,Medical Diagnostics,United States
"Core Diagnostics, Inc",Medical Diagnostics,United States
Designer Diagnostics Inc.,Medical Diagnostics,United States
Lenox Hill Radiology,Healthcare Analytics,United States
Stelexis Therapeutics,Digital Health,United States
Eden Health,Healthcare Analytics,United States
Health Reveal,Digital Health,United States
Medly Pharmacy,Digital Health,United States
Kindbody,Digital Health,United States
GenFleet Therapeutics Inc,BioSystems,China
Culture Biosciences,Digital Health,United States
JangoBio LLC,Healthcare Analytics,United States
Numab Therapeutics AG,BioSystems,Switzerland
Dilon Technologies Inc,Medical Diagnostics,United States
Biomarck Pharmaceutical,BioSystems,United States
"BioMarker Pharmaceuticals, Inc.",Genomics/Gene Therapy,United States
BMG Pharma S.p.A.,Digital Health,Italy
"Cancer Prevention Pharmaceuticals, Inc.",BioSystems,United States
"uVera Diagnostics, Inc",Medical Devices,United States
Diagnostica Stago Inc,Medical Diagnostics,United States
DxTerity Diagnostics,Genomics/Gene Therapy,United States
Vault Health,Digital Health,United States
Wellthy,Digital Health,United States
Primmune Therapeutics,BioSystems,United States
Biosortia Pharmaceuticals,Digital Health,United States
"True Diagnostics, Inc",Medical Diagnostics,United States
YouSeq,Genomics/Gene Therapy,United Kingdom
"Shoreline Biome, LLC",Genomics/Gene Therapy,United States
TurtleTree Labs,Early stage biotech,Singapore
"DeepBiome Therapeutics, Inc",TeleMedicine,United States
Vectans Pharma,TeleMedicine,France
Cell-Easy,Stem Cell,France
Versatope Therapeutics,Healthcare Analytics,United States
"Time Bioscience, LLC",Healthcare Analytics,United States
StemCellerant,Stem cell,United States
"MDI Therapeutics, Inc",Healthcare Analytics,United States
Octagon Therapeutics,Rare disease,United States
Life Biosciences,Digital Health,United States
X-Vax Technology,BioSystems,United States
Variant Bio,BioSystems,United States
VizAI,BioSystems,United States
Sure Genomics,BioSystems,United States
Biohemp International Inc,Healthcare Analytics,United States
Anjarium Bioscience,BioSystems,Switzerland
Arcturus BioCloud,BioSystems,United States
CombImmune,BioSystems,United States
IndiOmics,BioSystems,United States
APS Lifetech,Agri-Biotech,India
Eupraxia Pharmaceuticals Inc,Healthcare Analytics,Canada
Laurent Pharmaceuticals,Bioinformatics,Canada
Mannin Research Inc,Healthcare Analytics,Canada
Mperia Therapeutics Inc,Healthcare Analytics,Canada
Mycodev Group Inc,Medical Devices,Canada
Immune Biosolutions Inc,Bioinformatics,Canada
AVIR Pharma Inc,Healthcare Analytics,Canada
